,act,ap,awards,comments,country,courseload,decision,essay,ethnicity,extracurriculars,gender,gpa,hooks,ib,income,interview,jobexp,otherschools,rank,sat1,sat2,schooltype,state,strengths,summer,volunteer,weaknesses,whydecision
255,28,0,n/a,,,"Senior Chemistry, History, English (American Authors), Spanish. Online courses at state university: Calculus &amp; Analytic Geometry I, General Chemistry II (finished all math at my high school),",A,"10/10 - I wrote about hoping to be the first student at my high school to get into a college, and reflected on inequality and how out-of-place I've felt for my whole life living here. My school is very small and new (the old school that served my area was shut down for poor performance), and no one before me has gotten into <b>any</b> 4-year college from my high school (around 10 people apply each year). I could have gone to a high school or a private school in a nearby city, but my parents sent me to the local school because private school would have been very expensive, and I would either have to drive two hours or board there, and because competition at any of those high schools to get into college was a lot fiercer.",asian,,M,4.0,"Rural, underrepresented school",0,100000,"I really enjoyed it! The interviewer was really nice but seemed to know everything! I felt intimidated since he brought up all kinds of things in current events and science and politics that I know nothing about, and seemed really puzzled that I didn't know everything he did.",none,"Where else did you apply? Columbia (visiting a friend there right now!), Duke, University of Mississippi, University of Florida, all accepted",0.0,2140,"[690, 750, 610]",Public rural,MS,"Essay for sure!! Leadership (started clubs since my school didn't have too many), being from a rural underperforming school",,"I live in a very rural area as my parents work at a remote military base, not many volunteering opportunities. Tutoring at my school, volunteering in China with my grandparents for two summers. ""Volunteered"" on a farm for a summer freshman year before I knew what volunteering was but they just used me as free labor.","Asian, no top awards",Geography
256,35,"[5, 5, 5, 5]","nothing extremely major... National Merit Commended, AP Scholar with Distinction, Harvard Book Award, French Honor Society, National Honor Society, and a bunch of school academic awards.","Congrats to all accepted! You have all worked so hard to get where you are. For all those who didn't receive the good news you were hoping for, please remember that college admissions is such a crapshoot and that some random admissions officer's decision does not reflect who you are as a person.",USA,"AP Chem, AP Lit, AP Gov, AP French, AP Stats",W,,asian,,F,4.0,lol,0,0,"8/10 Good conversation, but nothing outstanding",,"Accepted at Yale (its on Harvard <span class=""Emoticon Emoticon19""><span>&gt;:)</span></span> ), Dartmouth, Duke, Vanderbilt, UVA, and McGill; wait listed at Harvard, UPenn, and Cornell; Rejected at Columbia and Princeton",0.0,0,"[800, 800]","Public, small but high-ranking in Massachusetts",MA,"Grades, test scores, teacher recs",,,"Interview, Asian, interested in biology (very popular major)",didn't really stand out from the thousands of other Asian applicants interested in biology. Also Harvard already accepted a girl from my school with tons of legacy SCEA
257,33,"[5, 5, 5, 5, 4, 4, 3]",AP Scholar with Distinction,"I was addicted to these threads when I was applying, but noticed most of the kids who posted waitlisted/rejected had amazing scores and were majorly salty about the turn out. Just so you know, not only perfect scoring prodigies get waitlisted, lol.",USA,"AP Gov, AP Stats, AP Micro and Macro, Calc 2 @ local college, AP Lit, Spanish IV, American Film (Independent Research Course I designed), and some filler classes (we're on trimesters)",W,,hispanic,"STAND human rights campaign (w/ leadership role) Model UN (w/ leadership role), FIRST Robotics (w/ lr), Academic Bowl (for fine arts and spelling,)  Link Crew, acted in the school's musical, NHS, and a few other things",M,3.85,"URM, LGBT+",0,0,,"Conservation Research my summer of Sophomore year, and I was an intern at a not for profit organization over summer of junior year",,0.0,2090,"[800, 760, 700]",large public,IN,"ECs, GPA had really strong upward trend, really rigorous workload",Conservation Leadership Conference and a Law summer program,"Dog Walker for humane shelter, graded math contests for the local middle school, volunteered at local holocaust museum","GPA, scores,","The essay was a risk, admittedly. It was a little weird in hopes of showing off my personality, but it might have flopped. Also, it discussed my post-grad plans, not undergrad."
258,0,"[5, 5]","1st Place in USNCO Local exam, National Top 24: Australian National Chem Olympiad, National 0.3%: Australian Mathematics Competition, National Finalist: BHP Billiton National Science and Engineering Awards, Finalist at Intel ISEF 2017",,,The subjects above minus SL Psychology,A,"CommonApp: pretty happy with it 9/10, supplemental essay was very personal, but probably not as good as my commonapp 7/10",asian,,F,0,,"[7, 7, 7, 7, 7, 7, 7]",0,"hands down best interview. We aimed to talk for 1 hour, ended up being 2, and my interviewer told me he would be depressed if I didn't get into Harvard. 10/10","Kumon tutor for 2 years, Olympiad Ambassador for the Science Olympiads for 1 year",Where else did you apply?,0.025,0,"[800, 800, 800]",Public selective school,"Australia (but US citizen, lived in America until freshman year)",I think my interview carried me. I also was so involved in and out of school in a wide variety of activities.,,"Volunteered at hospital, animal welfare league, confucius institute",My supplemental essay could have been better.,I was SO shocked to find out I was admitted! Harvard may have liked my well-roundedness? I also think I demonstrated a strong passion to STEM across my entire application.
259,35,"[5, 5, 5, 5, 5]","National Merit Finalist, AP Scholar with Distinction, MA Association of School Superintendents Award","I am committed to Harvard. <span class=""Emoticon Emoticon1""><span>:)</span></span>",U.S.,"AP Art History, AP Calc BC, AP Eng Lit, AP Physics 1, AP Psych, AP French, Band (Honors)",A,"Common App: 9, very very personal/raw (subject confidential), worked through it for several months with numerous English teachers; Harvard Supplement: 10, definitely best app essay I've written, showcased leadership and refusal to give up after failure, etc.",caucasian,"Marching Band (Drum Major), Varsity Soccer, Mock Trial (President), NHS, World Language NHS (Officer), English NHS (President), Model UN, Jazz Band, Percussion Ensemble, Indoor Track (JV/Varsity)",F,3.99,None really,0,150000,"Very very strong, interviewer was quite impressed and seemed to like me a lot",had jobs all throughout high school; cleaned tables at a restaurant for about 3 years,,0.00383141762452,0,"[800, 740]",Public,MA,"LOTS of leadership (Drum Major, Officer, President, etc.) and very strong academic achievement, great success in a difficult course load both junior and senior years, strong recs, very strong supplement","Work/schoolwork, mostly","nothing spectacular, about 60 hours throughout HS","counselor rec?, maybe Math Level II score","Why you think you were accepted/rejected/deferred? While my GPA/test scores certainly placed me within Harvard's caliber, I think the combination of strong essays, strong recs, and a great interview really added a personal dimension to my application that interested them more so than just the numbers."
260,0,"[5, 5, 5, 5, 5, 5, 5, 4]",None?,,,"AP Chemistry, AP Psychology, Econ/AP Econ, AP Physics C, AP Computer Science, AP English, Stanford Math 51",A,"Decent, but definitely not the best.",asian,"Key Club (District Projects Chair), NASA Internship (Astrophysics), Stanford Internship (Radiology/Cancer Research), Math Club (Publicity Chair), Clarinet / Alto Saxophone, Relay for Life (Team Captain, Youth Chair, Accounting Chair)",M,3.98,None.,0,150000,Okay,Private Math Tutor,"SCEA, so I did not apply elsewhere.",0.0,2400,"[800, 800, 800]","Public, highly competitive",CA,Academics? Leadership?,"Key Club, Relay for Life, Private Tutoring, Enjoying Life",Key Club (700+ hours),"Essays, Awards, Uniqueness as an Asian",Stroke of luck
261,33,"[4, 4]","NHS, French NHS, Latin NHS",I'm just really surprised I wasn't rejected,,"History of Genocide, Contemporary Issues, AP Calc BC, AP Euro, AP Physics B, AP French, AP Lit&amp;Comp, H Latin 4 (our school doesn't offer AP Latin)",D,"they were great, had them read by mommy's friends who are deans at other colleges",hispanic,"Debate (Captain for 2nd year), JSA (Membership Secretary, President), Academic Team (Secretary, Treasurer, Captain), Secretary of Senior Class",F,3.299,"URM, half-first gen",0,75000,"went great, we connected quickly, also, it was my friend's dad",Market Research Place for 30 hrs a week,no where yet,0.0,0,"[740, 650]",public,NJ,"EC's, also that I could keep good grades with working 30 hrs","UChicago Summer Program, Work at a Country Club, took Macroeconomics at county college because they don't offer econ at my school","Church (3 hours week, play guitar in the youth group band and teach kindergarden)",grades,"deferred because of grades, also, I made a spelling mistake, oops..also, I think the URM helped"
262,0,"[5, 5, 5, 5, 5, 4]","1st place in several well-recognized international business competitions, 3rd place in an international innovations competition (competed with adults), Own a Patent, Won around $5,000 from all the different competitions.",,Thailand,Most rigorous possible,A,"Awesome. ComApp about farming initiative (9/10), Short Answer about business (9/10), Harvard supplement essay about savings, my goals, and why Harvard (9/10)",asian,"Business (Business Owner), Writing (Published Author), Student Govt. (Class President), Yearbook (Head Writer), Drama (Director, Actress-won award, Editor), Band (Keyboard Player), Tennis",F,4.0,None or maybe about my unique background,0,0,Great! We discussed apps for about half an hour then went on to talk about random things for almost 2 hours.,"Research internship with the University of Chicago (100 hours), intern at a pediatrics clinic (200 hours), work at local library (50 hours)",Harvard is the first place I heard from,0.00333333333333,2310,"[800, 800, 800, 800, 790]",Public,,"Well-rounded, Unique ECs, Unique life experiences, Recommendations, lots of community service, Clear goals, passion, and character. (I think the application reflect who I am very well)","A combination of extracurriculars, working, and community service.","Start an initiative to help rural farmers gain more wealth (increase income 20 folds), start a small-scale cooperative and rural social security system for farmers, volunteer E-Learning elementary teacher at a temple school, Raise funds to build libraries and playgrounds for poor children.",Unhooked International Applicant from a not so well-known school.,"I have a good life story, I guess. <span class=""Emoticon Emoticon1""><span>:)</span></span>"
263,34,"[5, 3, 4, 3]","AP Scholar, National Honors Society, i-Sweeep semifinalist, Eagle Scout",,,"AP Physics, AP US Government &amp; Politics, AP English, AP Statistics, and Applied Differential Equations at Oregon State University",D,"My supplement essay was decent, my common app essay was crap (thank goodness for common app replicates <span class=""Emoticon Emoticon21""><span><span class=""Emoticon Emoticon1""><span>:)</span></span>)</span></span>",caucasian,"Boy Scouts (patrol leader) [as i said before Eagle Scout], tennis [placed top sixteen in the state for singles, was varsity for all four years of high school], cello (co-principal of Camerata, 1st desk in local youth symphony) [made the Allstate Orchestra];",M,3.95,None,0,0,I was interviewed by a former Harvard admissions officer and I thought it went extremely well,Worked in a research lab at Oregon State University for 2 months.,,0.0,0,"[800, 780, 720]",Medium Public,OR,Extra Curriculars,I trained at Weil tennis academy and participated in research internships.,Over 300 hours,,
264,35,"[5, 5, 5, 5, 5, 5, 5]","Community Trustee Awards, international finalist in an art design contest (H&amp;M), three time winner in an international art contest, Academic World Quest** (5th»2nd <b>), national laureates for AATF National Examination in French, National Merit, National AP Scholar, SMU Hart Global Leaders Forum, Gold Key for South Art Region-at-Large for Scholastic Art &amp; Writing Awards, Texas French Symposium, Future Business Leaders of America, Visual Art Scholastic Event of Texas Art Education Association, local visual art competitions, AATF (North Texas) awards, UIL Social Studies, school awards… (published artist/writer), exhibited art in galleries, art scholarships, a lot of design awards // contacted by Sears (9th grade) and Youtube (12th grade) about design/art/animation, etc (those ventures never went anywhere LOL)",SO MUCH CRYING,"(born in NZ &gt;&gt; Australia &gt;&gt; Canada &gt;&gt; Texas), US citizen",8 AP classes + etc,A,"Left with a willing editor for any future book ventures (haha) -- they were both very ""vonnegut""y? one was about classrooms, geography, maps vs. globes, and culture. the other was about glenn beck, my dad, and globalization.",asian,"Director of Public Relations, 12th), Asian Culture Club (Officer of Public Advertising, 10th), Peer Tutoring Society (Vice President), Art Club/National Art Honor Society (President, 12th)… Habitat for Humanities, Future Business Leaders of America, Student Congress: Community Service Committee, etc. ...designed websites, business cards, logos, etc., online shop",F,3.5,"first generation in the US (so, none, basically); my dad lives in Beijing (?)",0,60000,"sociology/philosophy/business major told me I had a “good chance”, my resume may just pop, that he’d do his best to help me get in (crossing his fingers for me dec. 15th), and to keep in mind that it’s a crapshoot (he was rejected from his first choice, stanford - “everything will be okay”)","writer for major newspaper (11th), intern  at local art cooperative (12th), own artist business (8th-12th), entertainment website (12th)",MY WHOLE BRAIN IS CRYING,0.05,2210,"[790, 750]",Large public high school that sends a reasonable number of kids to the Ivies each year,Texas,"CRYING (i think i did really well on my interview? i basically told him everything i couldn't get on the app - that i had bought french books from friends in france, because of my boner for art history/hugo, etc, that i had found an unabridged french version of les mis and had read it along with the english version, that i just loved comparing languages with my friend - i would read her translations (since they were not available in english) THINGS, BASICALLY)","ACIS: Travel is Education scholarship, Project: Open Door Scholar to Rhode Island School of Design Pre-College (6 weeks, full scholarship), SMU: Meadows School of the Arts Pre-College (2 weeks, full scholarship), Marie Walsh Sharpe Summer Seminar Alternate (60 juniors/rising seniors from across the nation), produce merchandise/artwork to sell at local venues/conventions, Princeton Creative Arts and Humanities Symposium (80 seniors from across the nation)","380+ hours, participated in online auctions to raise money for Sichuan relief (my parents are from Sichuan), silk-screened shirts for Red Cross Japan earthquake relief, Backpacks for Peace! (just started helping this one this year!)",CRYING (SO MANY),CRYING
265,0,"[5, 4, 5, 5, 5, 4, 5]","National Merit Semifinalist, AIME Qualifier, AP Scholar with Distinction? I dunno",,n/a,"Multivariable Calculus, Linear Algebra &amp; Differential Equations, Engineering, AP Physics C, AP Computer Science, AP English, AP Spanish",A,"pretty solid, I thought. I wrote about my love of speaking x)",caucasian,"Speech and Debate (founder, captain and student coach), Varsity Math Team (President and captain), NHS (Chapter Project Committee Chair), Tutoring (President of an online tutoring program), Karate (black belt), Piano, a bunch of languages",F,3.6,legacy...?,0,80000,"thought it went terribly, actually - I was so nervous I was shaking.","Internship with a law firm last summer, lots of paid and unpaid tutoring experience",n/a,0.0,2370,"[800, 750]",Charter,Massachusetts,"Objective things, I guess. Scores and whatnot. And leadership, maybe?","Harvard SSP, law firm internship, MIT SSP, traveling","Volunteer tutoring, assorted community service projects through NHS",No focus; none of my activities really had much to do with my intended concentration.,"Pure, unadulterated luck."
266,31,"[2, 3, 4, 4, 5, 5]","National Achievement Semifinalist, NSLIY  study abroad Scholarship winner, AP Scholar w/ Distinction, Illinois State Scholar",,,"AP Bio, AP Calc AB, AP Chinese (taught after school), AP Physics B, AP English Lit, Hon Mixed Chorus",D,"Decent; completely out of the box though (one was long and a collage of emails, thoughts, conversations, and school projects I'd done)",african,,M,3.54,"URM, first generation, english is not my first language though I was born here, low income, have a single parent (mom) who has 4 kids",0,42000,ok,"Mentoring Cousin, taking care of siblings (have a single parent)","SCEA, so I did not apply elsewhere.",0.0,0,"[730, 630, 680]","Public, competitive",IL,"Obvious OP EC's, really touching essay about how screwed up my life is family wise, but still trying to make the best of it, and Hooks.","Studied Chinese at DePaul (w/ credits), U of Chicago (w/ credits), East China Normal University (in Shanghai, via scholarship), independent science research and bible study",only 93 hours of work...,"Scores (I sent my SATII's blindly...), Grades (1 F, 5 C's, long story)","To be honest, these grades and scores are weak.  If I can bump it all up, then Reg Desc. should be easy for me."
267,35,"[8, 2, 3, 3, 5, 3, 4]","uhhhh, rank 11 in the nation for fbla? almost national qualifier for USACO",,,5 APs and an arts class for a-g for uc,D,"i liked common app, and supplemental was pretty good as well",caucasian,"president for 2 years of environmental club, officer team of engineering club, member of FBLA, various competitions related to clubs that i have leadership in",F,3.8,"uhhh, female engineering?",0,100000,"domestic applicant and didnt even have one, i think i'm gonna request one now that i'm deferred",,NOWHERE. WHEEEEEE.,0.0,2050,"[800, 780, 780]","public, thinks its good, but its really not &gt;.&lt;",CA,i dont think i really have anything that stands out against 2400s + 4.0s. i felt like an interview and my essays could have cleared that up.,"COSMOS before senior year, USC Frontier of Energy Resources before junior, both years did alternative energy research","tutoring, and i mean like CRAZY","now that i'm deferred, i think everything was a weakness",eh.
268,0,"[4, 4]","Hispanic Scholar, Grand Concours - National Laureate (national French exam), National Merit Commended, Gold Level - President's Volunteer Service Award","I'm completely okay being deferred. Of course, it would be nice to be accepted, but this is basically where I saw myself anyways.",,"School doesn't do APs, but all AP-level classes",D,"weren't my best ever, but I thought were pretty good",hispanic,"assistant editor of online magazine, swim team (club, 4 years), piano (14 years), leader of Asian affinity club at school, tutoring",F,3.61,"URM (Hispanic), kind of legacy b/c dad went to business school",0,100000,"great - he said that he thought I'd be a great candidate for Harvard at the end, and we had a great conversation","internship for African organization over the summer, worked at summer program at high school",,0.0,2170,"[780, 730, 740]",Private,WA,"recommendations, interview, essays","internship at African organization, traveled to Senegal for a month, volunteered at summer school for underprivileged children","assistant editor position is volunteer, tutoring is all volunteer","GPA, SAT","I don't have a 4.0, and my SATs aren't stellar. But they obviously saw potential, I'm guessing in my recommendations and interview."
269,0,"[5, 5, 4, 4, 5]","NROTC Scholarship (Designated to Harvard/MIT detachment; ISR), Okinawa Peace Scholar, Benjamin Franklin Transatlantic Fellow, Reischauer Scholar, National Merit Semifinalist, AP Scholar with Distinction. E in C of a nationally-recognized student publication, winner of regional newspaper internship, essay exhibited in local museum for a spring season.","To every student reading this thread for some sort of formula for acceptance (as I did for many months; not gonna lie), please take my worn-out advice: DO WHAT YOU LOVE. Really. I never had a plan for high school, and I never saw this coming. I didn't understand the weighting of courses when I moved to a large city and a much larger school, and by the time I did, I only knew that to have the experiences I wanted- to become an exchange student in Japan, to be a leader in the extracurriculars I loved, to pursue athletics- I wouldn't want to spend my time whoring out for APs I had no interest in. Harvard wants a narrative; a personal journey. Don't compromise on your passions- however silly- or on the things and people you love. They define you and make for far more interesting essays and interview conversations than anything a transcript could inspire. Also- to all my Christian, conservative, ROTC-aspiring peers out there: yes, there is apparently a place at Harvard for you, too <span class=""Emoticon Emoticon1""><span>:)</span></span>",,"AP Japanese, AP Euro History, AP Calc AB, AP Government, AP Macro, AP Physics B, Newspaper Production, Track and Field, Theater Productions",A,"Personal statement was about being a werewolf for Halloween in the first grade/marching to the beat of my own, ill-constructed drum. Generally detailed my passion for defying the expectations of others, having my own weird sort of fun with life. No one edited it, so I was nervous about that essay's quality. Additional essay was really raw; about a relative who is a sex offender, and the criminal/fringe nature of my family at large, and how I use the filial love I have for them to understand and empathize with all others who seem to be written off by society at large.",,"Varsity Track and Field (Letterman from 9th onward), Newspaper (Staff Writer in 9th, Editor-in-Chief from 10th to 12th), Student Government (Class Rep in 9th, President in 10th), NHS (President in 12th), Studying Japanese (Self-studied grades 2 and 3 after foreign exchange; accelerated to AP Japanese- fourth-year course- this year), Latin Club (Secretary in 9th-10th, VP in 11th). I play video games and watch anime. I'm a dorkface.",F,4.0,Parents went to CC; one dropped out. No real hooks here.,0,100000,"Awesomesauce. We hit it off, big time. And totally disagreed on politics and religion in the process. Gave me an amazing feeling about Harvard in general <span class=""Emoticon Emoticon1""><span>:)</span></span>",Freelancer for largest metropolitan paper in a major city.,"Baylor University. Two years ago, I didn't think I would be accepted there.",0.0342577487765,2290,"[790, 790, 780]",Public,TX,Long-term investment in ECs/athletics and a number of national awards; many geared toward my interests (EAST ASIAN STUDIES FTW).,"Road trips and assorted fun stuff. Won a scholarship to go on a foreign exchange in Okinawa for the summer of '10; two months of life as a high school student in beautiful Naha! The following summer, I spent a month at the Benjamin Franklin Transatlantic Institute through yet another competition/scholarship. It's freaking awesome. Look it up ;D","I hold babies! Working the nursery at my church, caring for infants and newborns. I organize obligatory NHS events; Food Bank, local hospitals, a number of different charities.","WOE, 690. Mediocre rank. Some 'meh' AP scores. Lacking volunteerism. Brunette.",Because the Lord works in mysterious ways. I don't feel nearly special enough for this.
270,36,"[9, 5]","Siemens Award of AP, USABO Semis, USNCO Finalist, Some Debate stuff, Some Spanish Stuff, Top-10 Quiz Bowl team in the nation, Science Olympiad Nationals Medals, Etc.",,USA! USA! USA!,"4 APs, 3 College Courses, Orchestra",A,"Good, I guess, I mean, they got me in.",asian,"Quiz Bowl (Captain, All-Star), Science Olympiad (President), Spanish Honor Society (State VP), Debate, Student Government (Chairman), National Honor Society (President), JETS (Founder, President)",M,3.271,"Nope <span class=""Emoticon Emoticon4""><span>:D</span></span>",0,125000,"Went really well, was told that I was the best applicant he's ever interviewed","- None, I'm an Asian Male -",Nowhere!,0.0,2300,"[800, 800, 800]","Public, top-100",-Not Telling-,"Test Scores, GPA, Awards, Rec Letters, I guess Essays (I liked my essays, they were really unique)","Volunteering, chilling, Governor's School","~500 total, I ran summer camps for disadvantaged children and volunteered at a blind school","Asian Male, 2 legacies applied from my school....",Who knows?
271,0,"[5, 5, 5, 4]","ap scholar w/ honor, regional oratorical competition, different academic and community service awards","its not over 'til its over! i was so depressed and convinced that i got rejected after keeping up with the discussion thread and look at me now! lol. jk. and sorry for how ambiguous and crappy this is. its late, im sleepy, im trying to get this out the way.",USA,"AP Bio, AP Eng Lit, AP Calc, APUSH, Research Practicum Bio, Internship",A,uhh...i guess captivating and unique,african,"Student Board of Ed Member, NSBE (VP), NHS, MHS Mu Alpha Theta, Varsity Soccer, Varsity Swim, etc",F,3.92,"URM, poor lol.",0,40000,great - said he would advocate for me,"USDA Internship, another private org internship",so far just drexel and some other on-site admissions,0.00180831826401,2080,"[640, 650]","Public, all black",MD,"hooks, grades, extracurriculars, and leadership",USDA and another lab,"campaigning, nursing homes, soup kitchens, tutoring, etc",fact that i did engineering but have not done bunch of calc or compete in mathalons or anything. lol.,"leadership, dedication (showed in my essay), and well-roundedness"
272,35,"[5, 5, 5, 5, 5, 4, 4]",Jack Kent Cooke Foundation Young Scholar,Ok for future applicants reading this... I think the most important part of the application is definitely the essay. This is your chance to really show Harvard who you are and why you are different from all of the other applicants who have equal or better objective stats. I really recommend being honest about your essays and don't be afraid to write about something just because you think it is unorthodox. Put yourself in their shoes. Imagine how many essays they receive from people writing about how well they did in a class or a competition. Write about something that is unique to you and will be memorable. Good luck!,,"Most rigorous/Half day at local college taking calculus III, differential equations, and two computer classes",A,,asian,"Quiz Bowl (Captain), Science Bowl (Captain), Young Republicans (President), Mu Alpha Theta (President), Key Club (Lieutenant Governor), National Honors Society (Vice-President), Senior Class (Treasurer), Piano Performance, Violin Performance, Robotics Mentor",M,4.0,,0,0,I think it went very well. It lasted about an hour and a half.,,,0.00263157894737,2300,"[800, 740]",Public,WV,I was very honest in my essays and was not afraid to write about my real interests and thoughts.,"Biotechnology research at UPenn, Public Health program in Washington D.C., National Quiz Bowl Tournament, National History Bowl Tournament, research project with ALS and stem cells, program at Princeton, multiple online courses",500+ Hours (majority from mentoring middle school robotics team and key club activities),,I think my application did a good job of conveying who exactly I am. Almost everything seemed like it was unique to me.
273,0,"[5, 5, 5, 5]","National Achievement Scholar, CA Girls State, HOBY",,,"AP Calc, AP Lit, AP Spanish, AP Gov, Leadership (ASB), Chem",A,"Great - one about how having a single-mom actually made me more passionate about school, supplemental - satire on my obsession at getting into Harvard",african,"ASB (President), Invisible Children (Founder and President) HOBY (Alumni Chapter Leader and Junior Staffer)",F,3.38,"URM, from a rural area",0,150000,Went extremely well - my interviewer and I had a ton in common.  She even told me at the end of the interview that she thought I would be a perfect fit for the community at Harvard.,Working since sophomore year (10hrs/week),Does it matter?!,0.0,2210,"[800, 790]","Public, Rural",CA,"Grades, Recommendation Letters, Extracurriculars, Supplemental Essay","Many leadership conferences, Girls State, HOBY, YMCA Camp Surf Summer Assistant",Sports For Exceptional Athletes Volunteer Since Age 9,SAT I,"Leadership roles, dedication in grades, being well rounded"
274,35,"[5, 5, 5, 5, 5]","Academic Decathlon at state level, National Merit Semifinalist, AP Scholar with Distinction",None,N/A,"AP Human Geography, AP French, Leadership, AP English Lit, AP World History, AP Physics B, AP Microecon/AP US Gov, Multivariate Calc/Diff. Equations, Academic Decathlon (off schedule)",A,"Pretty good if I say so myself, I wrote the optional one",caucasian,"CSF (11-Secretary, 12-President), Mu Alpha Theta (12-Founding President), FCA (11-Sgt at Arms, 12-VP), ASB (12-Secretary), Chess Club (9-Secretary), Robotics Club, Academic Decathlon (12-Captain), 9-Cross Country, 10/11-Water Polo, 9/10/11/12-Swimming, 11/12-Literary Magazine Editor",M,4.0,"I come from a school that rarely sends kids to top schools in the Central Valley of California, so that might have helped.",0,0,Really well,one summer job after freshman year,Not applying anywhere else,0.00244498777506,2370,"[800, 770, 760, 740]",Public,CA,"Extracurriculars, Grades, Scores, maybe Essays","Boys State (2011), COSMOS (2011)","50 hours in VBS, 35 hours swim coaching, 2 hours in Relay for Life","Community Service, lack of many national awards","See ""Strengths"". Also Academic Decathlon"
275,34,[5],"FBLA Nationals--4th in Emerging Business Issues, 6th in Impromptu, 8th in Public Speaking. National AP Scholar, Bank of America Student Leader. Two-time national qualifier in International Extemp. National Merit Semifinalist.",,,,A,"I rewrote them numerous times, trying to make them as honest and straightforward as possible.",asian,"FBLA (President), Debate (team captain), Forensics (club founder and president), Math Club (Co-founder and Co-president), Piano (4-time state winner), Orchestra (Concertmaster at one point and 2nd chair most of the time).",F,4.0,,0,0,"Only 40 minutes long, but I don't think it made a big difference",Internship with non-profit for BofA Student Leaders program,I haven't found out from anywhere else yet.,0.0,2300,"[800, 800, 780, 720]","Public, around 1600 students",,"Initiative, independence, leadership","Internship, took classes, various competitions, and relaxing/having fun <span class=""Emoticon Emoticon1""><span>:)</span></span>","Philanthropic organization, assistant teacher for Chinese School","I was afraid that I spread myself too thin throughout high school, but my activities were all things I enjoyed, so I tried to convey that.",I honestly don't know. I'm just thankful that I was accepted!
276,0,"[3, 4, 4, 4]",None,,,Hardest Possible,D,"Average, I guess",african,varsity soccer / state/territorial MVP for two consecutive years,M,0,"URM, first generation college",0,0,,,,0.106666666667,1860,"[600, 600, 650, 660, 660]",Public,VI,athletics,,,Numbers,
277,0,"[4, 5, 5]","NMSF, AP Scholar with Honors",,,"2 periods of music, Physics B, Calc BC, World Lit HL, Econ HL, 20th Century Topics HL",D,,caucasian,,M,3.837,nada,"[7, 6]",180000,I'm not sure how it went haha,none,"nowhere yet.  Applied to USC and applying to Cornell, Columbia, Dartmouth, Penn, Stanford, Caltech, UChicago",0.0,2240,"[800, 790, 750]",public,NV,"EC involvement, SAT II",,,,"Stats not high enough; also, not sure about my interview"
278,0,"[5, 5, 5, 5, 5, 5]","some national awards in Latin competitions, HOSA, National History Day, NMSF","so excited!! I hope to be c/o 2016, but I was dumb and forgot to fill out the CSS profile, so I'm not sure that my parents want to pay for Harvard. Fingers crossed!",,"AP Eng Lit, AP Calc BC, AP Bio, AP Art History, AP Latin Vergil, AP Macro/Gov, Research course",A,"I was never completely pleased, but I guess they were pretty unique (had one from my dog's perspective)",asian,"shadow at vet (2 years), Latin Club (President/VP/Historian), Pre-vet society (President/Founder), HOSA (historian), research",F,4.0,NONE!,0,0,"okay- I didn't impress him (he'd been interviewing for 20+ years), but clearly I didn't bomb it!",vet tech assistant/computer operator for vet clinic,"TAMU/UT Austin; I might still apply to Stanford, but I'll see if I have time over winter break <span class=""Emoticon Emoticon10""><span>:P</span></span>",0.00510204081633,2370,"[800, 800, 760]",magnet public,TX,not a math/pre-med asian? I think my veterinary experiences really helped me stand out. GPA/rank/scores,"hospital volunteering, lots of competitions, autistic camp counselor, Vet Camp at TAMU","volunteer for vet (3 years), hospital volunteer, autistic camp counselor, wildlife rescue volunteer","essays could have been better, interview as well; unhooked?",no idea! I was totally expecting a deferral.
279,0,[5],"National AP Scholar, National Merit Commended",,,"AP Calc BC, AP Gov, AP Physics B, AP Lit, AP Euro, Band, Alaska Studies",A,Common app essay was quirky - described my experience dancing in a polar bear suit as part of my summer job and how it changed my perspective.  Harvard supplement essay was about crazy wilderness experiences in Alaska.  Activities short essay was about debate and my leadership role on the team.  I really tried to highlight different aspects of my life and activities.,caucasian,,M,4.0,Geography?  Not sure if that's a hook,0,0,"Haha, I didn't think it was that great, but I guess it was good enough <span class=""Emoticon Emoticon1""><span>:)</span></span>",,Nowhere yet!,0.0,2400,"[800, 800, 800]",Large public,Alaska (definetly helped a lot with my application),"Grades, test scores, breadth of ECs, being from an underrepresented state","Working, volunteering, travelling, debate",See above,"No hooks or really incredible awards,  essays could have been better","I had solid objective stats, a good variety of ECs, and a desirable location with few other applicants."
280,36,"[6, 5]","National Merit, Science Olympiad State, AIME, ARML",,USA,"AP Biology, AP Economics, AP Psychology, French III, AP English Literature, AP Chemistry",D,Good,asian,"Math Team (Captain), Science Team (Captain), Mu Alpha Theta (President), Crown and Sceptre Senior Honor Society (President), Cross Country (Captain), California Scholarship Federation (Vice President), National Honor Society, Violin, Rubik's Cube",M,4.0,None really,0,0,"Very strong, interviewer told me I was the best candidate he ever interviewed and he really wanted me to get in.",N/A,N/A,0.0,2360,"[800, 800]",Public,CA,"Test scores, leadership, well-rounded, heart-felt essay, strong interview.",nothing interesting,average,"No exceptional achievements, lack of volunteering, asian stereotype.",Not extraordinary enough for Harvard?
